,Unnamed: 0,jd,band,flux,flux_err,zp,zpsys,index,field,ccdid,qid,band_y,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zp_y,programid,rfid,flux_raw,flux_err_y,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,tid,tmax,tmp_flux,tmp_flux_error,weights,flux_err_weights,bmedian,bstd,bmean,bwmean_wSNR,bwmean_wfluxe,bmean_error,bwmean_wSNR_err,bwmean_wfluxe_err,bcount,flux_y,zpsys_y,sim_flux,pull
117,2,2458733.8314005,p48g,45.676525009483605,29.154311606592426,25.84339601000001,ab,1053,848,7,3,p48g,979331402715,0,2.6269,64.7934,5.74974,25.9979,1.47844e-05,0.0380217,-0.059840599999999994,2.5619499999999998e-05,643,30.0,0.082415,0.06568600000000001,20.0477,25.9979,2,848120127,6.69215948633529,30.0568912551364,0.247672064039742,1.01596265686048,70.1012193383821,48.6586967745392,1.45037495374971,1.05972259182762,0.506768312536688,17.7319995880127,0.0410000011324883,3.68700003623962,0.23499999940395397,2458205.979051,2458258.8723259997,0,ZTFold_sn_median,2458680,2.6693546778444355,11.989030362648482,0.04957291358404694,0.006957158214495253,-5.78323627709152,39.18543966547913,-7.7838149554230585,17.025395415732177,-4.731027069594765,1.8644917472596216,2.404929961453123,0.0010420748193963774,415,26.206438171802912,ab,26.053494007060642,0.6730747502193043
120,5,2458725.7962037004,p48g,66.25412606082102,26.464613191775808,26.01496399,ab,1024,848,7,3,p48g,971296202715,0,1.895,69.1557,5.09929,26.0884,8.4605e-06,0.029195799999999997,-0.09638889999999999,1.37496e-05,672,30.0,0.053542,0.048073000000000005,20.5821,26.0884,1,848120127,-22.5097330695676,19.4926156806571,-1.28456186769453,1.18488184747869,39.7322148215438,37.5349473104621,1.06566856864102,1.03988032703878,0.506768312536688,17.7319995880127,0.0410000011324883,3.68700003623962,0.23499999940395397,2458205.979051,2458258.8723259997,0,ZTFold_sn_median,2458680,-8.260576261862283,7.1533606318474945,1.333522812155602,0.019542483748965472,-5.78323627709152,39.18543966547913,-7.7838149554230585,17.025395415732177,-4.731027069594765,1.8644917472596216,2.404929961453123,0.0010420748193963774,415,-1.2991550959213345,ab,36.84733845799001,1.1111739056881254
122,7,2458680.6995255,p48g,497.5071985532933,65.23362431177671,26.081685,ab,910,848,7,3,p48g,926199522715,0,2.1413,75.6862,12.4382,26.1932,1.61392e-05,0.0372478,-0.07733889999999999,3.12678e-05,568,30.0,0.044017,0.056902999999999995,19.5776,26.1932,1,848120127,434.65459033740194,59.303846234805796,8.15297687603404,1.0273387478295402,478.865062188352,105.89522202168301,4.55252122550851,1.0503517371503701,0.506768312536688,17.7319995880127,0.0410000011324883,3.68700003623962,0.23499999940395397,2458205.979051,2458258.8723259997,0,ZTFold_sn_median,2458680,144.83191415392264,19.760724395455057,53.71836909822686,0.0025609097752318285,-5.78323627709152,39.18543966547913,-7.7838149554230585,17.025395415732177,-4.731027069594765,1.8644917472596216,2.404929961453123,0.0010420748193963774,415,458.0145722894178,ab,421.07847397203625,1.1716154879878298
125,10,2458672.8077778,p48g,143.98659044149815,18.306331381875232,26.022306,ab,889,848,7,3,p48g,918307772715,0,2.4073,72.3882,3.58604,26.142,1.1040599999999999e-05,0.0331334,-0.107627,1.7626800000000002e-05,671,30.0,0.066551,0.061963,20.7337,26.142,2,848120127,79.12133925792492,18.7760412952367,4.68753365807988,1.09970482716806,126.534302834931,31.440283358291698,4.05169753697746,1.0492212611975602,0.506768312536688,17.7319995880127,0.0410000011324883,3.68700003623962,0.23499999940395397,2458205.979051,2458258.8723259997,0,ZTFold_sn_median,2458680,27.63717380834509,6.558492583366452,17.757392575878452,0.023248339360397538,-5.78323627709152,39.18543966547913,-7.7838149554230585,17.025395415732177,-4.731027069594765,1.8644917472596216,2.404929961453123,0.0010420748193963774,415,101.40530606581088,ab,134.4455376289987,0.5211886867701894
126,11,2458716.8184491,p48g,47.06745079452342,40.813510817466025,26.002875,ab,1002,848,7,3,p48g,962318442715,0,1.9475,69.9552,7.808619999999999,26.0882,1.1686700000000001e-05,0.033748900000000005,-0.067804,1.98729e-05,649,30.0,0.044613,0.050558,20.1015,26.0882,1,848120127,55.616405750631706,31.3571163432556,1.97297509244161,1.10421811454452,98.9003936121468,58.80024141721721,1.6933007595474898,1.04597817081146,0.506768312536688,17.7319995880127,0.0410000011324883,3.68700003623962,0.23499999940395397,2458205.979051,2458258.8723259997,0,ZTFold_sn_median,2458680,20.41375597108064,11.509490991886576,3.1458180718155044,0.00754897114440422,-5.78323627709152,39.18543966547913,-7.7838149554230585,17.025395415732177,-4.731027069594765,1.8644917472596216,2.404929961453123,0.0010420748193963774,415,76.82307695126364,ab,56.256920742882,-0.2251575462218256
128,13,2458678.7771875,p48g,369.44004937654313,52.74340382124921,26.056053,ab,906,848,7,3,p48g,924277182715,0,2.6459,75.4341,10.174,26.1611,3.01961e-05,0.0512068,-0.0589496,5.7539399999999986e-05,568,30.0,0.05379,0.078515,19.5818,26.1611,1,848120127,295.903728651832,45.4650137977252,7.239822381838981,1.1851710088455,324.310425145565,75.53127965964991,4.32264190398075,1.04713011648808,0.506768312536688,17.7319995880127,0.0410000011324883,3.68700003623962,0.23499999940395397,2458205.979051,2458258.8723259997,0,ZTFold_sn_median,2458680,101.557134317237,15.604049783446436,42.35905092263482,0.004107006077839042,-5.78323627709152,39.18543966547913,-7.7838149554230585,17.025395415732177,-4.731027069594765,1.8644917472596216,2.404929961453123,0.0010420748193963774,415,318.5831778498648,ab,360.1076145002864,0.1769403223933928
129,14,2458733.662662,p48g,11.553286045942695,36.80532014867748,26.03217,ab,1048,848,7,3,p48g,979162662715,0,1.9404,71.8515,7.01377,26.1179,1.08647e-05,0.0331867,-0.07142260000000003,1.76907e-05,673,30.0,0.047189999999999996,0.058586,20.2493,26.1179,2,848120127,-51.8700513376439,27.975831008620602,-2.06247400274931,1.00512645964388,31.627757783376197,52.946804531101705,0.6013728842322039,1.04550235926634,0.506768312536688,17.7319995880127,0.0410000011324883,3.68700003623962,0.23499999940395397,2458205.979051,2458258.8723259997,0,ZTFold_sn_median,2458680,-18.52493436111691,9.991322926574457,3.437695169220683,0.010017376760492858,-5.78323627709152,39.18543966547913,-7.7838149554230585,17.025395415732177,-4.731027069594765,1.8644917472596216,2.404929961453123,0.0010420748193963774,415,-30.075270666897612,ab,31.085903153762093,-0.5307009157620725
131,16,2458710.7262269,p48g,92.1880229221476,69.68289231599982,26.051227,ab,989,848,7,3,p48g,956226222715,0,1.9891,74.6082,13.4587,26.1532,1.64974e-05,0.036534500000000004,-0.0480483,3.2253000000000004e-05,541,30.0,0.039406000000000004,0.05335,19.5379,26.1532,2,848120127,80.4852857610913,56.73730157704221,1.57798406958581,1.01232526253366,255.094684198639,105.70930756591801,2.42942430980757,1.05190555703848,0.506768312536688,17.7319995880127,0.0410000011324883,3.68700003623962,0.23499999940395397,2458205.979051,2458258.8723259997,0,ZTFold_sn_median,2458680,27.825084401221705,19.61501646108292,2.0123134354846584,0.002599097946674809,-5.78323627709152,39.18543966547913,-7.7838149554230585,17.025395415732177,-4.731027069594765,1.8644917472596216,2.404929961453123,0.0010420748193963774,415,103.00031435777632,ab,85.89043570884816,0.09037494001742884
132,17,2458730.7961921003,p48g,16.701732105897282,28.2324616441017,25.854891000000002,ab,1038,848,7,3,p48g,976296192715,0,2.0934,61.174,5.4238800000000005,25.9442,1.24671e-05,0.035083300000000005,-0.0701388,2.0815900000000002e-05,657,30.0,0.051377,0.057879999999999994,20.2791,25.9442,1,848120127,29.366398991887106,22.3772477593095,1.45981837480121,1.1862487531568002,136.078786967893,40.6350160046023,3.37136043977162,1.0450568898966401,0.506768312536688,17.7319995880127,0.0410000011324883,3.68700003623962,0.23499999940395397,2458205.979051,2458258.8723259997,0,ZTFold_sn_median,2458680,12.307524107235368,9.378355048821817,1.7222177044512506,0.011369638573908531,-5.78323627709152,39.18543966547913,-7.7838149554230585,17.025395415732177,-4.731027069594765,1.8644917472596216,2.404929961453123,0.0010420748193963774,415,47.93899033262572,ab,27.87207936888337,-0.3956561565122957
133,18,2458693.766794,p48g,353.750850072743,22.05383004504645,26.04709299,ab,932,848,7,3,p48g,939266792715,0,2.2308,73.2051,4.28188,26.1495,8.6044e-06,0.029223900000000008,-0.09612860000000001,1.3669100000000001e-05,672,30.0,0.048202999999999996,0.052959000000000006,20.6864,26.1495,1,848120127,256.97261091813,21.1949750471803,13.486794140733199,1.1171459639842098,360.13315222263014,36.104179001584704,10.0420139648422,1.04672751318173,0.506768312536688,17.7319995880127,0.0410000011324883,3.68700003623962,0.23499999940395397,2458205.979051,2458258.8723259997,0,ZTFold_sn_median,2458680,89.1429161412045,7.352464048581664,146.99679132407,0.018498400622081752,-5.78323627709152,39.18543966547913,-7.7838149554230585,17.025395415732177,-4.731027069594765,1.8644917472596216,2.404929961453123,0.0010420748193963774,415,279.4110428046328,ab,331.46591126098934,1.0104793029707377
