,Unnamed: 0,jd,band,flux,flux_err,zp,zpsys,index,field,ccdid,qid,band_y,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zp_y,programid,rfid,flux_raw,flux_err_y,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,tid,tmax,tmp_flux,tmp_flux_error,weights,flux_err_weights,bmedian,bstd,bmean,bwmean_wSNR,bwmean_wfluxe,bmean_error,bwmean_wSNR_err,bwmean_wfluxe_err,bcount,flux_y,zpsys_y,sim_flux,pull
48,48,2458899.0523727,p48g,2023.5377407018605,26.14156145110204,26.17900400000001,ab,1257,848,7,3,p48g,1144552372715,0,1.9566,79.6583,4.9995199999999995,26.2493,1.2696400000000001e-05,0.0355077,-0.14098,2.03077e-05,671,30.0,0.083027,0.052507000000000005,20.7412,26.2493,1,848120127,2092.45426293505,31.403359368041897,74.11987289423101,2.6270945833282005,2112.81196784855,43.694142161262796,48.68025261057061,1.03663703001378,0.5993507992275451,17.7319995880127,0.0410000011324883,3.68700003623962,0.23499999940395397,2458205.979051,2458258.8723259997,0,ZTFnew_sn_median,2458680,662.1188832985757,9.937018746314731,4439.7624073851175,0.0101271625710895,-6.794642110797327,37.67393517477678,-8.36599948213629,12.469674226145413,-5.753415375428943,1.866995000768114,2.3994021980980897,0.0011116446902222745,415,2118.892825135389,ab,2034.1952439724903,-0.4076842651715645
49,49,2458882.0165856,p48g,2005.693033912291,27.936609525972408,26.122596,ab,1236,848,7,3,p48g,1127516582715,0,2.2046,77.9709,5.4176,26.2202,1.2305999999999999e-05,0.0348024,-0.12470999999999999,1.9686600000000002e-05,669,30.0,0.07616,0.057491999999999994,20.4927,26.2202,1,848120127,2034.41860763447,32.9773558512854,68.6245152761992,1.95402780088474,2139.25670060689,46.474985147974394,46.3402992106449,1.04323813063149,0.5993507992275451,17.7319995880127,0.0410000011324883,3.68700003623962,0.23499999940395397,2458205.979051,2458258.8723259997,0,ZTFnew_sn_median,2458680,661.2418304406316,10.718544877816997,3805.826427729841,0.008704189523213508,-6.794642110797327,37.67393517477678,-8.36599948213629,12.469674226145413,-5.753415375428943,1.866995000768114,2.3994021980980897,0.0011116446902222745,415,2060.157972923228,ab,1935.4624877834992,2.5139251799148727
50,50,2458914.9440741,p48g,400.1443099047748,58.134489213275174,25.9709,ab,1273,848,7,3,p48g,1160444072715,0,2.0866,65.4148,11.1052,26.046999999999997,1.83159e-05,0.040216800000000004,-0.10658800000000004,3.4569899999999996e-05,582,30.0,0.041832,0.056053,19.5613,26.046999999999997,1,848120127,358.063733889418,46.9520013723131,8.48322582342626,1.0568571323443399,459.16763001945503,86.7975774689218,5.3257264074140505,1.03610730635233,0.5993507992275451,17.7319995880127,0.0410000011324883,3.68700003623962,0.23499999940395397,2458205.979051,2458258.8723259997,0,ZTFnew_sn_median,2458680,136.5087016894523,17.900044440231603,58.15840051533721,0.003120985720263056,-6.794642110797327,37.67393517477678,-8.36599948213629,12.469674226145413,-5.753415375428943,1.866995000768114,2.3994021980980897,0.0011116446902222745,415,380.00783690422315,ab,455.05370135973885,-0.9445235039998485
52,52,2458880.9847685,p48g,1473.8371864638339,28.76348778152759,25.988573000000002,ab,1234,848,7,3,p48g,1126484762715,0,2.7017,75.1747,5.60331,26.1624,1.3817999999999999e-05,0.0367995,-0.0917217,2.27835e-05,657,30.0,0.085356,0.078652,20.2106,26.1624,1,848120127,1662.4270987404502,36.29132988058221,50.9559059832438,1.38244552141118,1743.09402676684,50.22357738330339,34.940439465972,1.0651884996162801,0.5993507992275451,17.7319995880127,0.0410000011324883,3.68700003623962,0.23499999940395397,2458205.979051,2458258.8723259997,0,ZTFnew_sn_median,2458680,569.878942303317,12.440644586939516,2098.3573627623787,0.00646121561445599,-6.794642110797327,37.67393517477678,-8.36599948213629,12.469674226145413,-5.753415375428943,1.866995000768114,2.3994021980980897,0.0011116446902222745,415,1686.8320437467346,ab,1492.5844317730432,-0.6517723250950517
66,66,2458904.033125,p48g,1337.4015480438145,24.72998459837471,26.147223,ab,1263,848,7,3,p48g,1149533122715,0,2.0789,79.1768,4.52158,26.2372,1.2853699999999999e-05,0.035994099999999994,-0.136553,2.05073e-05,675,30.0,0.099647,0.053576,20.7318,26.2372,1,848120127,1389.18836086709,27.9426115509582,55.30303218521379,1.8259524840806696,1415.27918068565,40.1804688662213,35.4602922165831,1.04214074222568,0.5993507992275451,17.7319995880127,0.0410000011324883,3.68700003623962,0.23499999940395397,2458205.979051,2458258.8723259997,0,ZTFnew_sn_median,2458680,444.50959097373993,8.941018497665688,2471.657472841389,0.012509098527902293,-6.794642110797327,37.67393517477678,-8.36599948213629,12.469674226145413,-5.753415375428943,1.866995000768114,2.3994021980980897,0.0011116446902222745,415,1415.3339139521088,ab,1347.6430254073966,-0.4141319750055655
72,72,2458886.0458449,p48r,2295.860134894277,36.98432698314183,26.1415055,ab,1239,848,7,3,p48r,1131545842715,0,2.0698,191.543,7.12602,26.2435,4.9722000000000004e-06,0.0223625,0.106012,7.958989999999999e-06,673,30.0,0.046701,0.052489,20.3519,26.2435,1,848120227,2425.4190188148,38.2470484424597,70.5413316658108,3.10857139799102,2511.07579819552,56.3752963416963,44.8421241610598,1.0429167037391,0.513427158025646,16.9430002212524,0.0509999990463257,4.34899997711182,0.243000000715256,2458198.864259,2458258.9480560003,0,ZTFnew_sn_median,2458680,771.5903345528868,12.167403930805635,4021.404001060044,0.006754670183667285,-17.389641157522902,85.36866475008608,-9.640787697850056,24.58515021285694,-20.669762899217847,4.179560824169008,3.5127746142171365,0.0003941788403980726,384,2455.7238953685887,ab,2329.9006528159575,-0.9204038764095073
73,73,2458895.9883102,p48r,2402.5779554319893,39.207211393727825,26.162538,ab,1254,848,7,3,p48r,1141488312715,0,1.8695,188.418,7.59205,26.2295,4.4121e-06,0.0209699,0.101587,7.052660000000003e-06,671,30.0,0.051885,0.052799,20.3489,26.2295,1,848120227,2508.09196848657,38.4216691304182,72.61427921565841,3.5464256636910703,2514.2026184972196,58.588940033251,43.20159942048311,1.03145253713331,0.513427158025646,16.9430002212524,0.0509999990463257,4.34899997711182,0.243000000715256,2458198.864259,2458258.9480560003,0,ZTFnew_sn_median,2458680,808.2458017914241,12.381584552187824,4261.224932822567,0.006523002493235882,-17.389641157522902,85.36866475008608,-9.640787697850056,24.58515021285694,-20.669762899217847,4.179560824169008,3.5127746142171365,0.0003941788403980726,384,2538.0085880857914,ab,2427.888861875283,-0.6455676275753419
74,74,2458913.9959722,p48r,975.5742939025599,39.22058442417658,25.837541,ab,1271,848,7,3,p48r,1159495972715,0,1.5394,139.752,7.479260000000001,25.9032,6.602000000000001e-06,0.025690699999999997,0.105092,1.05367e-05,671,30.0,0.048962,0.06307,20.1812,25.9032,1,848120227,1074.16375309045,29.685847318790398,40.2509231188291,2.69016907521699,1140.93366338343,50.007826647416,22.968762976808602,1.03397794798768,0.513427158025646,16.9430002212524,0.0509999990463257,4.34899997711182,0.243000000715256,2458198.864259,2458258.9480560003,0,ZTFnew_sn_median,2458680,467.5095570177792,12.920206337046725,1309.3088028073448,0.005990472807451867,-17.389641157522902,85.36866475008608,-9.640787697850056,24.58515021285694,-20.669762899217847,4.179560824169008,3.5127746142171365,0.0003941788403980726,384,1096.3147113774417,ab,958.0747136630483,0.44618356652340985
75,75,2458882.0512616,p48r,1827.1120416039466,34.739984492878044,26.145091,ab,1237,848,7,3,p48r,1127551262715,0,1.8957,192.611,6.81155,26.24,5.0217000000000006e-06,0.0224692,0.104528,8.03726e-06,674,30.0,0.049352,0.054537999999999996,20.4562,26.24,1,848120227,1842.97122233501,36.2972077115917,56.48070880012939,2.76413188709728,1879.5999667338401,56.647685638557796,33.4039980507946,1.04420299366159,0.513427158025646,16.9430002212524,0.0509999990463257,4.34899997711182,0.243000000715256,2458198.864259,2458258.9480560003,0,ZTFnew_sn_median,2458680,588.1912421943515,11.584391244600036,2578.0460716183993,0.007451669190408966,-17.389641157522902,85.36866475008608,-9.640787697850056,24.58515021285694,-20.669762899217847,4.179560824169008,3.5127746142171365,0.0003941788403980726,384,1873.178564799841,ab,1764.7564329985064,1.794923328714312
77,77,2458899.0306481,p48r,2148.0148936752985,32.881318196712165,26.169462,ab,1256,848,7,3,p48r,1144530642715,0,1.5319,188.752,6.27631,26.2312,5.6789e-06,0.023894,0.09941950000000001,9.10648e-06,675,30.0,0.054108,0.061104,20.6734,26.2312,1,848120227,2279.2225317633397,33.713094949836695,75.2043404750124,5.34940727849855,2184.22617055475,49.0812478447257,44.80197949406839,1.03018476011013,0.513427158025646,16.9430002212524,0.0509999990463257,4.34899997711182,0.243000000715256,2458198.864259,2458258.9480560003,0,ZTFnew_sn_median,2458680,733.342288619924,10.84722437692238,4570.63153491268,0.008498900651834312,-17.389641157522902,85.36866475008608,-9.640787697850056,24.58515021285694,-20.669762899217847,4.179560824169008,3.5127746142171365,0.0003941788403980726,384,2309.186030235845,ab,2087.6222236069116,1.8366864037228783
